,title,content,company,link
0,"“AI 서비스를 코딩 없이 입맛대로”...스타트업 렛서, AI 플랫폼 '램프' 출시",인공지능(AI) 전문 렛서(대표 심규현)는 AI 플랫폼 '램프'를 정식 출시했다고 17일 밝혔다.램프는 코딩 과정 없이 AI 서비스를 개발 및 운영할 수...,AI타임스,https://www.aitimes.com/news/articleView.html?idxno=154392
1,"네이버, AI 기반 호텔 추천 서비스 ‘포유’ 베타서비스 개시 - 조선비즈",네이버가 인공지능(AI)에 기반한 호텔 추천 서비스 '포유' 베타 서비스를 개시한다. 18일 업계에 따르면 네이버는 최근 여행상품 섹션에 호텔 추천...,조선비즈,https://biz.chosun.com/it-science/ict/2023/10/18/5VFSV6EYERDFLBTTIJTXTULSSU/
2,"솔리드이엔지-네이버클라우드, 골프 관련 AI 서비스 개발 협력",솔리드이엔지는 네이버클라우드와 골프전문 AI(인공지능) 서비스 개발 및 중부권 클라우드 시장 선도를 위한 전략적 업무협약(MOU)을 체결했다고 16일...,디지털타임스,https://m.dt.co.kr/contents.html?article_no=2023101602109931081004
3,CEOSCOREDAILY,"SK텔레콤이 AI(인공지능) 기반 서비스 출시를 가속화하고 있다. AI 비서 에이닷 뿐만 아니라 클라우드, 모빌리티 등 기존 사업 영역에 AI를 접목하며...",CEOSCOREDAILY,http://m.ceoscoredaily.com/page/view/2023101816032112471
4,"인피닉, 기업 정보 구축 서비스 'AI-피디아(AI-Pedia)' 베타 버전 공개",인공지능 플랫폼 전문 기업 인피닉이 10월 17일부터 22일까지 6일간 서울 공항에서 열리는 듀펙스 코리아 2023(DUPEX KOREA 2023)에서 기업 정보 구축 서비스 'AI-...,ITWorld,https://www.itworld.co.kr/news/310531
5,"용인특례시, 'AI안부든든 서비스' 대상 확대",용인특례시는 'AI(인공지능)안부든든' 서비스를 다음 달부터 확대한다고 19일 밝혔다.AI안부든든 서비스는 사회 안전망의 보호를 받지 못해 고립될...,중부일보,http://www.joongboo.com/news/articleView.html?idxno=363616278
6,대한민국 대표 경제전문 멀티미디어 뉴스통신 채널,"[뉴스토마토 심수진 기자] 삼성SDS와 LG CNS, SK㈜ C&C 등 국내 대기업 IT서비스 3사가 기업 맞춤형 생성형 인공지능(AI) 서비스 경쟁을 본격화합니다...","::: 뉴스토마토 ::: 청정언론, 싱싱한 뉴스, 멀티미디어 경제매체",https://www.newstomato.com/ReadNews.aspx?no=1204666
7,"IBK기업은행, AI 음성봇 상담 서비스 'IBK바로' 출시",[테크월드뉴스=주가영 기자] IBK기업은행은 인공지능(AI) 음성봇이 고객에게 자동으로 전화를 걸고 질의응답을 수행하는 대고객 상담 서비스를 출시...,테크월드뉴스,https://www.epnc.co.kr/news/articleView.html?idxno=237574
8,"KT클라우드, AI 추론 특화된 인프라 서비스 출시",KT클라우드가 AI(인공지능) 추론에 특화된 고성능 GPU(그래픽처리장치) 인프라를 이용할 수 있는 서비스를 선보였다. 슬라이싱(분할) 기술을 활용해...,비즈워치,http://news.bizwatch.co.kr/article/mobile/2023/10/16/0017
9,"의령군, 인공지능 로봇(AI) 활용 어르신 돌봄 서비스 구축",경남 의령군이 어르신들에게 로봇·인공지능(AI) 돌봄 서비스를 한다. 군은 오태완 군수 공약사업으로 추진한 AI 돌봄 로봇을 이용 어르신이 많은 관내...,아시아투데이,https://www.asiatoday.co.kr/view.php?key=20231017010008256
